catalog_item_code,category,subcategory_code,description,uom,source_strategy,default_vendor_source_id,seed_price_usd,currency,price_confidence,location_scope,bay_area_priority,notes
MAT-0001,site_concrete,bond_breaker,Form release agent,gal,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0002,site_concrete,form_tie,Snap tie / form tie,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0003,site_concrete,form_lumber,Form board 2x4 / 2x6,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0004,site_concrete,form_plywood,CDX / HDO form plywood,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0005,site_concrete,cure_compound,Concrete cure compound,gal,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0006,site_concrete,joint_filler,Expansion joint filler,lf,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0007,site_concrete,sealant,Concrete joint sealant,tube,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0008,site_concrete,rebar_dowel,Epoxy dowel adhesive,cartridge,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0009,site_concrete,anchor_bolt,Anchor bolt assembly,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0010,site_concrete,rebar_chair,Rebar chair / dobie,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0011,site_concrete,wire_ties,Tie wire,lb,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0012,site_concrete,forming_stake,Wood or steel stake,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0013,site_concrete,sawcut_blade,Diamond concrete blade,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0014,site_concrete,grout_nonshrink,Non-shrink grout,bag,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0015,rebar_accessories,rebar_3,Rebar #3,lf,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0016,rebar_accessories,rebar_4,Rebar #4,lf,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0017,rebar_accessories,rebar_5,Rebar #5,lf,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0018,rebar_accessories,epoxy_rebar,Epoxy coated rebar,lf,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0019,rebar_accessories,mesh_66,6x6 WWM / welded wire mesh,sheet,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0020,rebar_accessories,coupler,Mechanical rebar coupler,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0021,rebar_accessories,cap_safety,Rebar safety cap,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0022,rebar_accessories,splice_sleeve,Rebar splice sleeve,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0023,rebar_accessories,rebar_stirrup,Fabricated stirrup,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0024,rebar_accessories,rebar_ties,Pre-tied rebar ties,box,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0025,lumber_plywood,spf_2x4_10,2x4 x 10 SPF,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0026,lumber_plywood,spf_2x4_16,2x4 x 16 SPF/SYP,ea,curated_plus_observation,white_cap_public_catalog,16.59,USD,public_list_price,bay_area_branch,true,Public sample price present; pricing varies by branch/location.
MAT-0027,lumber_plywood,df_2x8_16,2x8 x 16 Douglas Fir,ea,curated_plus_observation,white_cap_public_catalog,37.89,USD,public_list_price,bay_area_branch,true,Public sample price present; pricing varies by branch/location.
MAT-0028,lumber_plywood,spf_2x10_16,2x10 x 16 SPF,ea,curated_plus_observation,white_cap_public_catalog,44.39,USD,public_list_price,bay_area_branch,true,Public sample price present; pricing varies by branch/location.
MAT-0029,lumber_plywood,cdx_half,1/2 x 4x8 CDX plywood,ea,curated_plus_observation,white_cap_public_catalog,46.19,USD,public_list_price,bay_area_branch,true,Public sample price present; pricing varies by branch/location.
MAT-0030,lumber_plywood,ply_3_4_hdo,3/4 x 4x8 HDO phenolic plyform,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0031,lumber_plywood,redwood_1x4,1x4 redwood merch,ft,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0032,lumber_plywood,redwood_1x6,1x6 redwood merch,ft,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0033,lumber_plywood,pressure_treated_2x4_16,2x4 x 16 PT,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0034,lumber_plywood,stakes_1x2,Survey / layout stakes,bundle,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0035,traffic_control,cone_28,28 in traffic cone,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0036,traffic_control,cone_36,36 in traffic cone,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0037,traffic_control,delineator_post,Delineator post,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0038,traffic_control,barricade_type2,Type II barricade,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0039,traffic_control,barricade_type3,Type III barricade,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0040,traffic_control,rollup_sign,Roll-up sign,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0041,traffic_control,sign_stand,Sign stand,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
MAT-0042,traffic_control,sandbag,Sandbag,ea,curated_plus_observation,,,USD,structure_only,regional,true,Catalog seed only; populate with quote or approved public observation.
